	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
bass_2	0.4534066526146232	0.5132610124612321	0.5000186749717234	0.33072634809081364	0.3289266165550887	0.37527195564222277	0.2854909835399661	0.3083972745114737	0.3100258075844394	0.7547960851635959	0.0	0.5540064818163374	0.6744374311579535	0.5480595013188755	0.5448793733894094	0.560408949288432	0.45864267264854464	0.46173417255802834	0.49310196415048646	0.4966587260027099	0.5263924150272205	0.5232274376955921	0.5481101893262805	0.5788336562929579	0.4123401944025548	0.23391935053731627	0.23342933227586243	0.2609899458865991	0.23256872450155086	0.30416506773697743	0.31137048859853983	0.545556929050453	0.5583702644507026	0.4778690626708496	0.4197417989993766	0.59038293841471	0.46018488763669707	0.4466065278288499	0.5119653670421608
bass_3	0.2596495556505379	0.45982167284971764	0.45077731107358326	0.39732379483248276	0.3800512922106807	0.3998864945593273	0.3709769886716125	0.38020639317120525	0.3820524105126885	0.5371273129834724	0.5540064818163374	0.0	0.6725786072026188	0.44727581548007056	0.42491595764554685	0.4692605069229599	0.433757370357214	0.40947040971856385	0.428288042771647	0.4317848092921605	0.5036474304855355	0.49204727381681745	0.47183057169029474	0.45429672021772616	0.47050620846856167	0.2898989167195277	0.290232372959337	0.3220502905870047	0.2948863546020625	0.361586056604944	0.37493654644061986	0.5318537191650001	0.454455504067617	0.348992235873869	0.32184301488663414	0.4469409029081072	0.4420119603530797	0.3467969721592765	0.4932478127647467
bass_4	0.3228294716068157	0.4935324797867958	0.4810541198688701	0.3168608089947707	0.35147178438917015	0.34368526703736213	0.26524429208255573	0.2774557326182118	0.2781534621674397	0.6710459210571403	0.6744374311579535	0.6725786072026188	0.0	0.558598343469289	0.5255759493991484	0.5802079081936651	0.47013859782524003	0.47396203269586873	0.4961394241851545	0.4925479034044558	0.6010544825639701	0.6047908365481094	0.6004958643066464	0.593538957907568	0.4631004065769106	0.20149303736324906	0.2006530913817865	0.2272691482607106	0.20283149136207632	0.2641259717899185	0.2732458781983905	0.6428996138253131	0.5819478265694714	0.43331400165767037	0.40395978874625216	0.5778921652592407	0.5390787847457694	0.42248642285933985	0.6008826530704778
CellCharter_2	0.3710547640527909	0.46906739228184696	0.4600479599840729	0.3025527700524021	0.30548830321338155	0.32160327156645235	0.23416554656187935	0.2484764007973671	0.24882788224599603	0.5651256312046794	0.5480595013188755	0.44727581548007056	0.558598343469289	0.0	0.7101799718127851	0.7336718505239879	0.45314059087759423	0.46460839093132417	0.48328420731944355	0.4857342527720468	0.5158837348564413	0.5681599297633756	0.5642106176907064	0.5532908482035972	0.37775821234038964	0.18060973415897777	0.17983944570390356	0.20402742079343839	0.18014229119100636	0.26590115073010934	0.2780854814846014	0.5389229245246857	0.6144536626971766	0.43610310094713445	0.4370969450049521	0.5929679266188647	0.4676347996628464	0.4550700424782783	0.5430853582380827
CellCharter_3	0.3701789134377179	0.4460982345323217	0.4368291254095871	0.28963012561593837	0.2920408482150047	0.29974338048088295	0.2126258731391789	0.22242301430820496	0.22299845898545212	0.5454812832927096	0.5448793733894094	0.42491595764554685	0.5255759493991484	0.7101799718127851	0.0	0.6269910502864904	0.39749596616079985	0.4309084010035383	0.45846045656518536	0.45127883882475556	0.5053001027700553	0.544001768729568	0.5655440581672316	0.5826419269341995	0.34510127839238774	0.16821585377432982	0.16661992756773897	0.18765279371132823	0.16636502439958978	0.24433976779788563	0.25547443393587227	0.519356760891359	0.6087765069059797	0.4880288978855541	0.4514131832467212	0.6039091333105686	0.45225296037515494	0.5021941816107867	0.5082556860713893
CellCharter_1	0.3243974354782038	0.46430485065618937	0.453452694943354	0.2953043692269264	0.3083269762130194	0.3267892829468931	0.25509626944381314	0.2666110784473693	0.266934868903501	0.5659265590072957	0.560408949288432	0.4692605069229599	0.5802079081936651	0.7336718505239879	0.6269910502864904	0.0	0.46153677055625	0.46838525407005177	0.4820492469657469	0.4877686513345848	0.506184407950361	0.5464510149133989	0.5519452106447903	0.5352163230397764	0.40183289674879075	0.19199754216459142	0.19103079466582223	0.21579554692077196	0.1928216990449814	0.27564608783208516	0.2810991816480951	0.5821059306985261	0.5427646707382152	0.42452872084090665	0.3947066369188674	0.562854225809102	0.4998365996860991	0.44185451142026266	0.5748389617740352
SEDR_5	0.3639740807010478	0.5559444397024971	0.5456456276955601	0.3757440016331595	0.3684091019519477	0.39691334624957536	0.34369197536091206	0.36427325202637323	0.36233185159561315	0.47230517365496916	0.45864267264854464	0.433757370357214	0.47013859782524003	0.45314059087759423	0.39749596616079985	0.46153677055625	0.0	0.6588955489949698	0.7260010166084603	0.7985942557064661	0.46729572637324196	0.47873052313739195	0.4824988767428802	0.4574351959250689	0.41950507539429427	0.26699470274957826	0.26675182696121447	0.2979523874686562	0.2720295564356051	0.4005733145137878	0.41652926261712314	0.4927925574551713	0.45590140635933946	0.34703326403934337	0.3622024704134796	0.48123699819347815	0.42641287423990704	0.32791881325534106	0.4493340664501454
SEDR_2	0.33988581399915774	0.5250742691647382	0.5117701256401633	0.40080894328031663	0.336703517817356	0.37184897506372394	0.3324357610015987	0.35039251195327875	0.3489017549121548	0.5011496804623713	0.46173417255802834	0.40947040971856385	0.47396203269586873	0.46460839093132417	0.4309084010035383	0.46838525407005177	0.6588955489949698	0.0	0.7588591633029454	0.7743596793968153	0.5235268906849878	0.5185015839114391	0.5322125110753861	0.5207929949119707	0.39200175302751367	0.244092980125533	0.24399390454881587	0.27471776246831114	0.2508598430701898	0.38375982256284813	0.38621609898188464	0.5087864834058277	0.48414533929184805	0.33614672413317453	0.3908283556430364	0.5340868224045479	0.4418732977586441	0.36623113921718065	0.4746966829780926
SEDR_3	0.38313899443892285	0.5810101074964699	0.5692905769711011	0.39088115255840217	0.3352670425809954	0.3690663438744979	0.3057577028393968	0.315955493084715	0.3145640789729076	0.5312096881751642	0.49310196415048646	0.428288042771647	0.4961394241851545	0.48328420731944355	0.45846045656518536	0.4820492469657469	0.7260010166084603	0.7588591633029454	0.0	0.8606274467367961	0.5313471893886426	0.5255537973891613	0.5570930399734019	0.5579268081184955	0.41083868962579173	0.23553871257380046	0.23550585761574833	0.26416751895209833	0.24065292914793235	0.3451407723034488	0.35993851843000124	0.533413465256715	0.5152312013299557	0.3696782487110408	0.401737568263962	0.5562872501082371	0.4684889010880955	0.37947715197174653	0.49277737680021694
SEDR_6	0.39740608105833286	0.5967416326573793	0.5827913596380537	0.4110580622130531	0.36906852729554473	0.4128506766887659	0.3483626449833974	0.36097773354460944	0.35918134665212814	0.5222264074466924	0.4966587260027099	0.4317848092921605	0.4925479034044558	0.4857342527720468	0.45127883882475556	0.4877686513345848	0.7985942557064661	0.7743596793968153	0.8606274467367961	0.0	0.5098023215169114	0.5220773731932243	0.551156411134666	0.5385572437420811	0.4225802942888849	0.25668655738102003	0.25661893813835795	0.286752443250213	0.261927431632785	0.39264418033341114	0.40851395880458646	0.5177917848253863	0.4994675929373671	0.3626849747157585	0.39632491266324116	0.5515112552278164	0.468749153864616	0.37939693764108173	0.48015461460721864
