	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
bass_3	0.3185941962382213	0.4703479310525563	0.4902510348645216	0.3990534870585993	0.35995717672918104	0.3942730857613415	0.3700954286530346	0.4260079221866708	0.5291838981919789	0.5357749861189318	0.0	0.7397391394278829	0.40470635117929465	0.40052759234535956	0.45218206218723744	0.36124949419251307	0.35747653979985355	0.3394326511098264	0.35260808130566457	0.42660278917224237	0.4337702137526448	0.37074407271736465	0.3632597182137764	0.42004172455910344	0.34328852500483054	0.3434076465037481	0.3552483959829885	0.3457750887438381	0.38644498582694903	0.39750164365953605	0.4734049743506071	0.34818640282862456	0.23815365187161458	0.2763854031028198	0.3733599394157309	0.4048473443436396	0.35789428462308764	0.40226590826130504
bass_4	0.38470163987852185	0.4812223808348193	0.4039989341550137	0.3575570993711345	0.2894935017703901	0.28800805780694405	0.26672762362778035	0.3163584974625797	0.6335943495112344	0.6504001889744269	0.7397391394278829	0.0	0.4847347609184189	0.4659968224047471	0.5182244530525675	0.372346038356512	0.3725108311119062	0.3628132620670312	0.36728627712930756	0.4973377579615299	0.5004136766773114	0.43505828646979633	0.42577021277830024	0.373299962528403	0.25456962879869505	0.2546162973700959	0.2642990339284327	0.25721309142955495	0.3027134569043291	0.31358246286169955	0.5336971234265707	0.4043715356226831	0.28012464156828415	0.3225238680938432	0.451039392547632	0.4672434147728945	0.40534331886405534	0.4557523285244985
CellCharter_2	0.4049464168116791	0.46881340143757283	0.3250134880440612	0.29639159807836907	0.24016427701726056	0.2269955849288728	0.21384561643723488	0.21406304263326653	0.6082900416395878	0.6022093253240878	0.40470635117929465	0.4847347609184189	0.0	0.7171598622507566	0.7651016526570318	0.4549693659653874	0.46016113912406675	0.4711747277263527	0.43575817697308245	0.49156808537182156	0.5334368483087297	0.5709564651304244	0.5782710764595549	0.2926260673946714	0.18355271833966683	0.18337011141107676	0.19096682068028809	0.18447267717965435	0.3111977371762762	0.31284675951808033	0.5036727729510009	0.5607323575463788	0.3382666848311947	0.42137776265917787	0.6013053839384329	0.5342279631364091	0.48359144738191856	0.49978316406931234
CellCharter_3	0.35518198327008155	0.38373805773236086	0.27785910496958766	0.24621762923124124	0.19799229280884023	0.2032208585106499	0.19653256496968707	0.19604430949116294	0.4964538990070568	0.5006053699692272	0.40052759234535956	0.4659968224047471	0.7171598622507566	0.0	0.6234335691883227	0.37136202276715996	0.41285594772095874	0.3971219114956657	0.37183673872885475	0.42176265321802664	0.4438773315369514	0.5454590860230899	0.5570645015766262	0.2696290188421467	0.16435262618497454	0.16423942160124602	0.1706999793177552	0.1651969022794683	0.2587074930916228	0.2612054661440176	0.45714812853102443	0.5266239833885614	0.3353656002757059	0.4229774570046645	0.5047726931997233	0.5242836549806935	0.4657293717857962	0.4667271362946327
CellCharter_1	0.38644206830634253	0.48133229516686493	0.33559390290797314	0.31397204218846086	0.2523354782287803	0.2547410113406735	0.24234428095370142	0.24260719113879556	0.6224594798877324	0.5930114417016447	0.45218206218723744	0.5182244530525675	0.7651016526570318	0.6234335691883227	0.0	0.5005137116184082	0.4882043761443077	0.4971980814967339	0.4696770060024165	0.5266634248469878	0.5475104539566941	0.571075846554717	0.5713213176915729	0.31796080487219214	0.19597654163055903	0.1957196029962278	0.2031054513443139	0.19717284388880374	0.323004785563486	0.3245653682752834	0.5258194979661257	0.5568863351247043	0.33276034926223524	0.4093286987804498	0.574435229747585	0.5246060053045747	0.4725076817862413	0.5119330438613001
SEDR_5	0.3218395017185509	0.4841318356636978	0.39796448129243284	0.3111771433670911	0.30945263174430854	0.3677937071202636	0.37264405237586995	0.3591502576418006	0.4547050593989497	0.42538008580638353	0.36124949419251307	0.372346038356512	0.4549693659653874	0.37136202276715996	0.5005137116184082	0.0	0.7508180955188594	0.7710256266574929	0.7523580272332102	0.41111529740661684	0.43223392074690614	0.4400281093536636	0.4291703725778362	0.3302433308262265	0.3012904324903268	0.3010022096944036	0.2961311029860719	0.3013027633872872	0.4717189321830299	0.4654595207379068	0.3802757377680437	0.4152768271202687	0.25036666761810966	0.2952443756556486	0.44195980409033536	0.3760498258434363	0.363091725215561	0.36213964439322943
SEDR_2	0.3608674644867789	0.4578107201507111	0.3718056936867712	0.2971071170195153	0.2858195130892597	0.33373215872241946	0.33540134389532983	0.3195279393467164	0.46074270630301095	0.43986475476695186	0.35747653979985355	0.3725108311119062	0.46016113912406675	0.41285594772095874	0.4882043761443077	0.7508180955188594	0.0	0.8413487677297921	0.783115929042927	0.3857485649718332	0.4223842570531864	0.4983799373717201	0.4812706228758177	0.31300396175557094	0.267360054681472	0.2671004375909335	0.26163414637271687	0.26739600076657083	0.41708032587213684	0.41938991554203503	0.3729458371207976	0.46799801677119307	0.2968491755601422	0.3404882790507825	0.4755755712951026	0.3853789585485348	0.3773272353750628	0.36536297132518636
SEDR_3	0.3252392438424127	0.4364628948585774	0.3413854233034817	0.2895012166097933	0.27216815265104205	0.3087939030219924	0.3146981680364758	0.2995903617749737	0.45856122381746595	0.43722198027946296	0.3394326511098264	0.3628132620670312	0.4711747277263527	0.3971219114956657	0.4971980814967339	0.7710256266574929	0.8413487677297921	0.0	0.8023043178556236	0.40660279837805385	0.43368897406322016	0.5345858360965634	0.4985592601330646	0.3085096370499349	0.25082109724220164	0.25063581724227213	0.2447765698490554	0.25073277337898625	0.39538633009004975	0.39771327206723145	0.3806435816586837	0.4793462454798325	0.28255094586818696	0.32614102419016855	0.4879637726765394	0.3828674946279455	0.3534177712606789	0.36071159172889367
SEDR_6	0.3311929805062879	0.4571741943473538	0.3865133517177983	0.3078772799984512	0.2860243038094828	0.342897064036185	0.3466743398506587	0.334735374419292	0.44072156409919183	0.41720964788500114	0.35260808130566457	0.36728627712930756	0.43575817697308245	0.37183673872885475	0.4696770060024165	0.7523580272332102	0.783115929042927	0.8023043178556236	0.0	0.3966694888889316	0.426483393243098	0.45409129985666014	0.44364947712393077	0.3153222815766084	0.2755196885681805	0.2750488252163963	0.2770825279470794	0.27475567865384354	0.4316257020993819	0.42470095882096287	0.3727417851550591	0.432996557030905	0.2693082248808298	0.3172938085557959	0.45553952913009044	0.3708033975908426	0.341051909966734	0.36400313164859766
SEDR_1	0.30021707613683385	0.4329762622437982	0.3325839658002987	0.30421056879228736	0.26846622804770126	0.2468726312540161	0.21366344368776738	0.23281259015813635	0.5859466220381376	0.5107993873623353	0.42660278917224237	0.4973377579615299	0.49156808537182156	0.42176265321802664	0.5266634248469878	0.41111529740661684	0.3857485649718332	0.40660279837805385	0.3966694888889316	0.0	0.7326102288011691	0.4090887088195224	0.3973422161143624	0.3006442111173114	0.1911377078927869	0.19101379476884725	0.1985639418368757	0.19142255271697126	0.2802624509882586	0.2747487575281177	0.5724008347893838	0.38610701092852473	0.25308906215508437	0.28208846984784886	0.43177767628245467	0.5194651040262537	0.41405277852988726	0.539787812493944
