	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	BayesSpace_1	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
stardust_3	0.14746193492772372	0.157650478900277	0.16485442527372435	0.15554382884919085	0.18121816834421167	0.16487184992971146	0.1857469724381745	0.15132504541544148	0.1540184239659667	0.46316933071079863	0.0	0.570714486760197	0.4450202025827828	0.15776807337425586	0.15799915120680777	0.16024829222149936	0.15503291819241524	0.08129326215339898	0.07331982059948819	0.06340289502522398	0.08802083813272175	0.03364166437891444	0.23280582756584453	0.23208928778555646	0.19975131977501642	0.05988885940237047	0.10262842163152079	0.09235136496999448	0.1547796310583103	0.11618268650802108	0.03186523035517199	0.1657247609788645	0.05656606265813939	0.061767332358314185	0.20270740812449478	0.3765053565529325	0.3594279398272383	0.37018889118486253	0.17561390940395033	0.18808864089360508	0.20989101416275166	0.22846208005073707	0.20293423565705324	0.29585294376889154	0.13629604768784706	0.12548485841469423	0.11127519339204538	0.16511147622585062	0.22510990998479372	0.2387500599929996	0.3755502610440853	0.4130339740471813	0.17974350311102436	0.15012566469175095	0.11348784101223602	0.20992674155212665	0.14414247317281126	0.14712359070106265	0.10838478452584402	0.1448496978383361
stardust_1	0.21928961784322915	0.2662107863561233	0.235911879034169	0.24206429666692703	0.3011510652730075	0.23350990198585123	0.30751345763100413	0.23146268373902915	0.25145617107534457	0.38301705973116124	0.570714486760197	0.0	0.3683461070820977	0.2214074882285587	0.2228971256804732	0.22415535115399626	0.2445748183227996	0.16600135468863098	0.15627655676325256	0.1262434944143305	0.1437067791383526	0.09197923811616014	0.29426794208681634	0.2850561247447357	0.2696814854263043	0.13485643423305418	0.1700689673436037	0.16411402044473583	0.22570462461370353	0.12176163427395884	0.027178802983584865	0.22782270406881078	0.11275557435810916	0.057430668844804925	0.2687472677183566	0.29201428072501856	0.2713661653889314	0.29355027876836726	0.2503883818064919	0.24874970662837603	0.151506870947658	0.1456388029347023	0.17631423266583005	0.19073528451569124	0.19242185668054862	0.1904146162531011	0.17469866571043682	0.26871343196645553	0.27834807791000477	0.30904257875672314	0.27643880429103296	0.297791012931122	0.14634807777275002	0.19555172591615114	0.14398859504115308	0.32270596111521116	0.13989403833199746	0.23424575839459014	0.13198715562465047	0.13887080084684325
stardust_4	0.07387836591893122	0.06929195546949059	0.17263754602496248	0.07386960859693233	0.1484956987628434	0.17170321328661803	0.16234612747702248	0.07195877509936623	0.06911106983421074	0.8550514588685137	0.4450202025827828	0.3683461070820977	0.0	0.0494604606574097	0.04982339705229411	0.050555952714843075	0.11087028520265182	0.06566012352181723	0.05521465656395526	0.04616984802195612	0.0820366487681316	0.06146675495920952	0.22442454685143937	0.21594609419394947	0.22283374237822628	0.15761429466930973	0.15208010720439327	0.13137084538232557	0.08068513261870774	0.0500437657291035	0.04541380163025544	0.08110325900993787	0.1301683159517016	0.06707899877298037	0.1603632261945162	0.2566861543898827	0.2486927320072777	0.29381471064467407	0.16855140669162835	0.2353970906928091	0.2603844171047574	0.2478380597158744	0.21526756573270445	0.28768490958574633	0.05832876890139449	0.034606315216567395	0.02489531701340996	0.053613156003984065	0.09768937978959405	0.09439741674785337	0.27718233832521105	0.2653724124784602	0.19552889321821365	0.17704754366160047	0.04575130611434437	0.08943731010010861	0.09702268928614198	0.03965190224879085	0.05442248764720578	0.15058024055528763
scanpy_2	0.3716960642745246	0.35523179994281207	0.17842801918399942	0.32040046152838214	0.2812175410138504	0.18553607654214702	0.2563570108895736	0.3050054025209145	0.3388425726230977	0.05300663350951586	0.15776807337425586	0.2214074882285587	0.0494604606574097	0.0	0.7790856793590576	0.8796452337569487	0.22423270653328717	0.2549479116453963	0.21677805265570063	0.21228152222325272	0.17727615185627832	0.0656053540882714	0.2150702700199636	0.20524337507129098	0.19229716344607084	0.08566580621875397	0.16238956750145503	0.1761991538248921	0.3513396349776333	0.25118416408330196	0.018116309422251536	0.3424850931272474	0.05544150236463132	0.0707932936694067	0.20191971423912305	0.12487227171525395	0.1302508044761021	0.12788135450693086	0.1480889233541737	0.13325695850163413	0.1264152237761799	0.10776514098020269	0.14458113010309423	0.10749741720742156	0.2780196597111836	0.3095714615915774	0.26258986101083054	0.3610556699133415	0.27753989691372793	0.30997430416153715	0.12602152418997842	0.14116119699682775	0.08731641572812825	0.20868048974681613	0.19185243781669778	0.4023576276621446	0.151724923799297	0.3305739126593772	0.192246278979365	0.1044781978380431
scanpy_3	0.37119364589789766	0.36186398325816677	0.17689936253256683	0.33378665884395314	0.28455033235494864	0.1820170994903757	0.26192191518336944	0.31893160622747224	0.3479307097819736	0.051280487235437176	0.15799915120680777	0.2228971256804732	0.04982339705229411	0.7790856793590576	0.0	0.8497162153978655	0.2523356662076241	0.2839408473075587	0.23882199716599942	0.2320258478378938	0.19352020563358324	0.08008632924633503	0.22005964930782398	0.22121786189930892	0.19644542859443306	0.09476908190381762	0.1668593120881457	0.18481508457808218	0.3547054354434317	0.2407579325236217	0.01614948842890725	0.3451404652045095	0.06526944565885943	0.07162081611289407	0.20704505892575367	0.12534310217140884	0.12795322041429963	0.12863651030139636	0.15216473825217092	0.13129519172618453	0.1343473169842311	0.1120000683092426	0.15280217628724604	0.11440971791164577	0.2965373760319069	0.3345734771825545	0.2812105255130867	0.3878111049125711	0.2707256002936438	0.3096708263796629	0.1300604053733119	0.13654279013415058	0.08788348875684104	0.21801679748991573	0.18758329578882768	0.41268427271735786	0.16176206404022675	0.3548443999793398	0.19912880075265313	0.10479960585772129
scanpy_1	0.3709371341164089	0.36678449308502253	0.1787421709053265	0.3320369982142066	0.2799056621510203	0.18598729627882585	0.25675088924746403	0.30964082944020005	0.34529573450530576	0.05176978961355707	0.16024829222149936	0.22415535115399626	0.050555952714843075	0.8796452337569487	0.8497162153978655	0.0	0.23109105450039832	0.2588556272667051	0.22231203133081082	0.21460909177551857	0.1811739430262574	0.07373500062264604	0.21720751032908814	0.20787361941298071	0.19840304870153017	0.08657492257340339	0.1635478888351993	0.17766342119070386	0.35255608738010275	0.24717577255046705	0.01810127298047123	0.3443231750465917	0.05717555000975069	0.07383849969522709	0.20076813373395805	0.12287070699963391	0.12655316395114097	0.12624933148029988	0.1505886994373336	0.13305263048866273	0.1290871388560824	0.10722211940095071	0.14492627199643435	0.1073438898206708	0.2809958289668135	0.3109744542893214	0.26096275100754046	0.3674572755854326	0.27419317461640896	0.3117558812823874	0.12434885847711383	0.13788306317702473	0.09127415160857723	0.20418757960655015	0.19094075912221983	0.4079859146973367	0.1522802054775662	0.33498025163946066	0.18732467482964318	0.10674912637799137
bass_5	0.33606451097892853	0.2828994941664726	0.350815423363073	0.2932636513542849	0.34891310498377637	0.3342467701427372	0.4174569165764573	0.3348547717983006	0.32079203220684316	0.11610661532486097	0.15503291819241524	0.2445748183227996	0.11087028520265182	0.22423270653328717	0.2523356662076241	0.23109105450039832	0.0	0.6717744100479125	0.640382138925502	0.5826678272599294	0.46048149297200136	0.184976626090848	0.4010021569254774	0.48198922901465036	0.3700379234734388	0.1611073971410431	0.2836081559578671	0.30342777156591016	0.3434763503960635	0.2366048526157754	0.08909507134340654	0.34411042995844443	0.15248431277357208	0.13684137149859138	0.3983116669416844	0.2560356210719747	0.25949890618169624	0.22568989502721423	0.43793772839017614	0.3556351041703836	0.28817480441305454	0.22277528725001103	0.29577728203628345	0.25794110617545585	0.4145869627728818	0.4286983167582226	0.4115147382537414	0.4312825703830855	0.2894989874845502	0.290811157389361	0.31493743215092435	0.250363405698009	0.23214834671527607	0.3519127537202687	0.318934596504378	0.3922873211736251	0.3729513144596338	0.40767571736118124	0.2959966757318146	0.2724359113028988
bass_2	0.41530409453025247	0.3569035179368642	0.28006114275151833	0.35312088658247787	0.2903809515614825	0.2725026220263047	0.3155633378569355	0.39815040350831193	0.40120337869614026	0.06454355484817637	0.08129326215339898	0.16600135468863098	0.06566012352181723	0.2549479116453963	0.2839408473075587	0.2588556272667051	0.6717744100479125	0.0	0.6107025503753314	0.6847898062470709	0.45498750304491636	0.25734430864672087	0.26709929541520055	0.3274294924163451	0.26078701640601193	0.18836479275686685	0.2675851167283001	0.30071238452590787	0.3815952309661859	0.26922308050873317	0.0743828983718721	0.3737679798117892	0.1606645273816346	0.1377720580770986	0.273810542477747	0.1381678514431685	0.14205571481781612	0.1298172225149692	0.2774569249383445	0.20624089598427212	0.27058231444007863	0.21620681183945176	0.2816316133659756	0.22774853632952613	0.43188823795370296	0.4419777857891185	0.3949827374338456	0.46670559953616203	0.18934600275499658	0.1929514535060901	0.2080548752759441	0.15929820776537612	0.22154981016830633	0.3841340872892581	0.2910728513867009	0.3759028851253308	0.3811382910982699	0.4745903106453438	0.359291909028869	0.224200710541331
bass_3	0.33917941031405374	0.2915109687336274	0.2819076118870149	0.2908419534720062	0.2827659043767313	0.2769592389917923	0.32006961735689016	0.32404834930929527	0.322419161380349	0.06731794805938313	0.07331982059948819	0.15627655676325256	0.05521465656395526	0.21677805265570063	0.23882199716599942	0.22231203133081082	0.640382138925502	0.6107025503753314	0.0	0.7812594242975726	0.48836256811417117	0.16602658988636973	0.31233975642954215	0.33628891673636346	0.32771240732865736	0.13396876648018136	0.23718023763040325	0.2705521172006927	0.33433532278305533	0.3504223006100591	0.043331458371130074	0.3349795900855164	0.119740892604825	0.1205004067981194	0.25203390976880946	0.15658701888498627	0.1480109218461675	0.15410354353483513	0.2741337545966733	0.22840351836792888	0.32896557188941594	0.24766754259775978	0.30656592791032317	0.26482591127794103	0.4339818627798497	0.43538347527079296	0.3809299900446629	0.43440365662200847	0.19815996587972287	0.1996925648825335	0.23486963405970596	0.1736609430332483	0.2582671295511842	0.3181498590141528	0.3353291367453687	0.35048949882267655	0.4526583960334642	0.41849039176674546	0.35103855116491317	0.30133343502713256
bass_1	0.3386492170235156	0.2739724046230336	0.23346663974714882	0.2708985225882412	0.23519883217893545	0.22820702837811424	0.25858989056892967	0.3018822414190432	0.30987608661238497	0.04568510570951659	0.06340289502522398	0.1262434944143305	0.04616984802195612	0.21228152222325272	0.2320258478378938	0.21460909177551857	0.5826678272599294	0.6847898062470709	0.7812594242975726	0.0	0.4649957244231899	0.19604914474239035	0.23611559152321615	0.2693794236869971	0.27195129779440635	0.09915543513546352	0.17650018712708185	0.2051827067619936	0.29801530090733713	0.3271181011053093	0.06092079092380561	0.2979045789021815	0.09154540485006132	0.11480979891089886	0.23822762622405652	0.13492190335717888	0.12021017686294529	0.12447190057008878	0.20806816039817408	0.15672103248973954	0.2598137553712307	0.2140546085737884	0.2607767490144398	0.20294387880776038	0.42842740421036823	0.40222106912320355	0.33220528670941174	0.4380609606746589	0.17943816656536593	0.1764304307873102	0.18882590106158248	0.15176557057173098	0.2364126283293288	0.2608816936939295	0.2805594577556179	0.3545026575717831	0.38863442301723566	0.41543273682000553	0.3492880053995123	0.27110329442229086
bass_4	0.37094976590012635	0.21661030822605845	0.3226763947841352	0.2237215637882409	0.22784186895681785	0.3060777079264598	0.2638876031427874	0.2454248112217644	0.23179396574336297	0.09775387576965255	0.08802083813272175	0.1437067791383526	0.0820366487681316	0.17727615185627832	0.19352020563358324	0.1811739430262574	0.46048149297200136	0.45498750304491636	0.48836256811417117	0.4649957244231899	0.0	0.07453256902947558	0.2855600225260335	0.362720335803151	0.2941055656726501	0.12554771321359093	0.2817548448925769	0.3236129659019895	0.3740749505804089	0.3700110597199095	0.06254652117540085	0.36626007564427365	0.09443966241388856	0.20694199328717575	0.3667293515277204	0.2107800382569334	0.21826757221333293	0.2509194870081213	0.32353781782185276	0.21845140461285995	0.2692015114262624	0.3967899328077172	0.26471287135771937	0.28635174424958665	0.3953015114838016	0.48327059349047685	0.4441088301415409	0.3577780808021039	0.27430644923101255	0.2525216265465078	0.3395598890215189	0.24586463733072325	0.2812720580158768	0.3618650369596692	0.3316383667766508	0.27600032985722955	0.40812184105104465	0.34478039357334184	0.37847074617436427	0.25585233703628646
BayesSpace_1	0.13799752590182884	0.17151304064691564	0.09304408896592713	0.167365690402496	0.09962007516497896	0.09787398330458544	0.1049093613489591	0.1633551449398602	0.16794829739619	0.05934080825744757	0.03364166437891444	0.09197923811616014	0.06146675495920952	0.0656053540882714	0.08008632924633503	0.07373500062264604	0.184976626090848	0.25734430864672087	0.16602658988636973	0.19604914474239035	0.07453256902947558	0.0	0.09410808945302881	0.11471918157207049	0.06986696670253402	0.2602170039182454	0.1186842851493519	0.12019868219336391	0.12664613529633592	0.019495374478850996	-0.1250346225141241	0.12865216533850152	0.31228906531290457	-0.011789004114565349	0.06055248280946695	0.010842258364905	-0.0080336873386679	0.01499301667996103	0.07617266274368888	0.07526528234960386	0.0611514487651346	0.002738881637613127	0.037619133555490014	0.03979321993462216	0.12416379399635787	0.1258571159838995	0.08038696243045301	0.18890998820887256	0.012849662105658287	0.019508104626398928	0.015928925706207644	0.00885204692142959	0.05449540414588806	0.09859392339623013	0.03593037938872439	0.12600520044932312	0.06045215216142065	0.16289972318032034	0.050926287521257066	0.028804455234578735
CellCharter_2	0.2666338656695997	0.2147364122806385	0.29787428756877904	0.23024733860078353	0.3054601270268002	0.29614970820682174	0.32754505521435434	0.22515141391065824	0.2218686606072225	0.22279593914610404	0.23280582756584453	0.29426794208681634	0.22442454685143937	0.2150702700199636	0.22005964930782398	0.21720751032908814	0.4010021569254774	0.26709929541520055	0.31233975642954215	0.23611559152321615	0.2855600225260335	0.09410808945302881	0.0	0.6805045504975478	0.4964510130721228	0.13992115589973966	0.23991685936527818	0.2698347489810272	0.2985568910662238	0.21498027068893813	0.06447408903175593	0.30989066485839384	0.09648283007598432	0.1040027275950595	0.2922157237002542	0.22403834077760507	0.2163805068512816	0.2571291464707423	0.33417800708017814	0.3136871709077641	0.21015059174344936	0.18151852843076324	0.21039612527965149	0.19628419095849356	0.219389921444731	0.27141496575670593	0.21642744534719457	0.2536288389968115	0.3097614730323138	0.3099816525486064	0.2569960112887241	0.2162192039483575	0.17268301821525248	0.2385946746431329	0.27995377993646736	0.3038613833977339	0.2526712612286074	0.23727481999005326	0.19705813179550785	0.21206809102154517
CellCharter_3	0.32812750338502744	0.2525572316673327	0.36499779292903983	0.27086919209198057	0.32384061778289625	0.35477179268936393	0.3576993674855436	0.271608508855786	0.26571946059422075	0.21842203405879568	0.23208928778555646	0.2850561247447357	0.21594609419394947	0.20524337507129098	0.22121786189930892	0.20787361941298071	0.48198922901465036	0.3274294924163451	0.33628891673636346	0.2693794236869971	0.362720335803151	0.11471918157207049	0.6805045504975478	0.0	0.5104544915033901	0.17094303484468962	0.3110329237688688	0.3508229333101229	0.3766438971179428	0.24847878931371986	0.06582640456454485	0.38249786629163895	0.11732926000446144	0.1154228754292099	0.38614798859298194	0.253256451714395	0.25392274798077635	0.3018089452244711	0.4097468601588234	0.3641481010428524	0.25695184809516664	0.2192041786767838	0.2670137526141018	0.246130747194283	0.26740319437475674	0.36889725830016135	0.2945086087599928	0.33944230033340955	0.34709709427826396	0.34577977228509144	0.3035596558930429	0.24668718328073186	0.19608022997835953	0.3268284466590619	0.340542364440641	0.34797563281473887	0.2932897256218147	0.30191361743658385	0.2570034309652525	0.27917329781144473
