	label	spaGCN_9	spaGCN_6	spaGCN_10	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	stardust_2	stardust_3	stardust_1	stardust_4	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_1	bass_4	labelBayesSpace	CellCharter_2	CellCharter_3	CellCharter_1	GraphST_5	GraphST_8	GraphST_9	GraphST_2	GraphST_3	GraphST_6	GraphST_1	GraphST_4	GraphST_7	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_2	SpaceFlow_3	SpaceFlow_1	SpaceFlow_4	DRSC_2	DRSC_3	DRSC_1	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
scanpy_2	0.22661254574984985	0.5642252310267646	0.5226191434481514	0.5607213342063797	0.5280418997515955	0.5268327747018494	0.5200383437997383	0.5548435627133027	0.5563255402383975	0.36040204279239746	0.4425708584711417	0.44468329079275143	0.3651570479902549	0.0	0.8851990497371736	0.9407712353890787	0.3230996518190355	0.5255873335811134	0.2826893755856463	0.28703442986938277	0.1906116918739328	0.2414733117286981	0.536607229714468	0.5218819004802184	0.5380699858732952	0.4957708679586508	0.39063473702535895	0.5203913770057138	0.5379771255859892	0.3678096589418414	0.3126704473768365	0.43077732628740595	0.35974936779103167	0.3321031217668059	0.29620637525252796	0.37969071612303307	0.37433625254902625	0.3139127199228624	0.24425884461302222	0.2502814888262375	0.2746990310125508	0.27287186868464275	0.4504370403757065	0.33491783339453385	0.27510967763812244	0.2658098103802163	0.23601749815227174	0.2937347774295544	0.3422632718570445	0.3409527628072531	0.34309782681505446	0.4512462117038632	0.3909633388653907	0.27201164536314143	0.28862499711979067	0.43018841407567787	0.459297846780773	0.32793379944929285	0.4239105489757313	0.5919779840252242	0.2897130002467286	0.30099555616847096
scanpy_3	0.21047754983647773	0.5125150225157189	0.49306175054739665	0.5072275419199096	0.5001088514825501	0.49846407311858276	0.49350628263443835	0.5015835843578248	0.5029368013001911	0.35043819312369057	0.46463682172002413	0.4672497549155796	0.35646335076420516	0.8851990497371736	0.0	0.9035610227208589	0.2991748872866007	0.47067841794633153	0.2624270423415396	0.2650885002386	0.19249110832841118	0.2245759905958042	0.5074372858991737	0.49195102829738035	0.5105699290786934	0.46632383732101607	0.3732394192506757	0.48955732495931964	0.5082281932355994	0.3389652152436725	0.2873103332418047	0.42226827881915063	0.3425826208437649	0.30730139328209405	0.30664749389863866	0.38390991893877663	0.3764925419953148	0.31465183724926454	0.23448116874770247	0.24209333504656438	0.2779253122528888	0.27618086293959654	0.43435016986562125	0.3148088016315905	0.27695649128908684	0.2703135837748241	0.23955277372296693	0.29782283342991644	0.35768147047115634	0.35629880562005617	0.3578466772908893	0.4541054422153898	0.3923705326893741	0.273996908916556	0.29471305835698247	0.41326246733474054	0.442984829110112	0.33231042783002396	0.411391029460447	0.5401061837528556	0.29575250842023576	0.30681423953026776
scanpy_1	0.22313638591303808	0.5440125318093854	0.5119419257207013	0.5361735252360036	0.5177774163645591	0.5161391141606333	0.509784583230154	0.5301576834723154	0.5326249994934225	0.3648635399828235	0.45641701426050707	0.4599909607614303	0.370604270827991	0.9407712353890787	0.9035610227208589	0.0	0.3118494543042297	0.4958388297545405	0.2737759944734962	0.2784770493253825	0.18377953354982648	0.23094805179589717	0.5173805270244419	0.5039227442165821	0.5193583235294522	0.48328047030690463	0.3757280073645363	0.5054318247514957	0.5294499559761344	0.3600339752962219	0.30173099027173805	0.4254604552961518	0.344117362995257	0.3202929848434724	0.2981211384862004	0.3844993673359065	0.37741271985996605	0.3140248773392444	0.23891757657390833	0.24382498210345943	0.2700540944670921	0.266171782533605	0.44347239688717843	0.3305813327899459	0.2683510610209624	0.26108892862636623	0.22957177782540988	0.28724215869923553	0.35568597227361404	0.35504722571435005	0.35729801804511924	0.46104042178250526	0.38834696653159245	0.26471211384219495	0.2844066415785151	0.42603331378315146	0.4585133494344731	0.3243200990941443	0.4258388105937116	0.5710861861805332	0.28445109444151745	0.29822939786049
bass_5	0.18264781133293437	0.34234763900049736	0.43927727914010134	0.3448956461074465	0.43657523695057365	0.43655870008965886	0.4406722382268417	0.3489664866117868	0.3501017358090901	0.2554939476878345	0.29245243152557643	0.29197774528851345	0.25723050788675217	0.3230996518190355	0.2991748872866007	0.3118494543042297	0.0	0.3667594806127999	0.896528172348651	0.8869607705618814	0.3293012310950823	0.3267364568583074	0.5129072563413621	0.5129127061805064	0.514586848059547	0.26669249241306064	0.2303153999732225	0.28761350079651665	0.26370524716650845	0.2504116745700232	0.24372232574727315	0.2237836095773549	0.21633936752268065	0.2642931404616716	0.2413181841975938	0.20268422545968898	0.1909002269255098	0.34761617093748726	0.1696956640184223	0.16051267410442083	0.34066449147419203	0.3478314552632218	0.38370754672824264	0.29029817433849336	0.4065768889940586	0.43755230423329544	0.42563142935786075	0.45884052675074644	0.35886843538956137	0.35762645291098094	0.36199113997400384	0.4214510691237587	0.3969442130299187	0.19535235324628838	0.3285442936955113	0.4232188377616996	0.34722441654711156	0.41752712810099674	0.3148639822396855	0.48068488265343	0.3326341837488599	0.40636215881222226
bass_2	0.3087145236301978	0.8056170571655659	0.48333366652667786	0.8134383056721988	0.4765338207394254	0.47817810796770926	0.48726177559700806	0.8236624750769913	0.8212010369967031	0.3800028910866817	0.23501769820670604	0.23686009310517206	0.38017959906209453	0.5255873335811134	0.47067841794633153	0.4958388297545405	0.3667594806127999	0.0	0.34594540332053125	0.3521561164236153	0.2173511759838426	0.33525112488728365	0.53116722210491	0.526613179221773	0.5260620430771149	0.4470811286585124	0.5253645932589093	0.4563895384683129	0.4171100015950758	0.2816361219399584	0.25356196750253984	0.48332512154994545	0.5005240236723235	0.2774801320439563	0.18863980610323236	0.19607400695114172	0.1951121996515403	0.19407485438511082	0.4420332148630831	0.41939721788391293	0.2623619992885304	0.21707730488709603	0.32002714952152395	0.33208899264398917	0.24776482313350595	0.24250809495434714	0.2468759218909483	0.2443952212438985	0.20714937537199404	0.20652075919069462	0.20684085543652425	0.29489485390535547	0.23992597789225775	0.25993520150196747	0.232663418206454	0.35311362841627814	0.4269789087825527	0.23608419817494664	0.41413492107847805	0.685420297595357	0.2344154261968123	0.23411090076771432
bass_3	0.16049286242192853	0.32669802066017334	0.3880106818004656	0.33028895365065236	0.3870704102340203	0.3860609864805322	0.38902350772407884	0.33148824678187283	0.32991484681749494	0.29219382495731305	0.29228208168759484	0.2913226418160469	0.2934485579689623	0.2826893755856463	0.2624270423415396	0.2737759944734962	0.896528172348651	0.34594540332053125	0.0	0.9557870883731386	0.3720971312025243	0.3168131433982227	0.4435406927594887	0.453987510251224	0.44806445108067655	0.2322157391213526	0.20351913366303376	0.24747148309040887	0.2248781041154726	0.2125005241741149	0.20650732921653495	0.19817661374952	0.18930153342139064	0.22068750148279537	0.23515301994957233	0.20046510197347397	0.1861731652770954	0.29880899930600596	0.1846250506289605	0.17078012559304467	0.38399262176686044	0.34543603026410497	0.32494953916038977	0.34543085060201173	0.3915618434056103	0.4605594877858706	0.46959260428763283	0.40701765127636297	0.3121029671825953	0.31103282149693834	0.3147958134060083	0.4254128050169585	0.3937670554565058	0.1902554486184829	0.2887098973255517	0.3690023600798628	0.30154596857817617	0.3629649618015929	0.27921486809851703	0.4305045129293233	0.2928879121629988	0.35397514684635367
bass_1	0.17063245072831415	0.3305575457359951	0.3984880888156917	0.3348745172184377	0.3954620127963063	0.39556897000496666	0.4010338991847593	0.3383055996685724	0.33779110832260617	0.30443026310458976	0.29799729593459273	0.2969741473948683	0.3062306703434474	0.28703442986938277	0.2650885002386	0.2784770493253825	0.8869607705618814	0.3521561164236153	0.9557870883731386	0.0	0.37260028534282474	0.3238103383956852	0.4570547656315221	0.46698953943714105	0.4607055107922975	0.24022862030682238	0.21202607343854163	0.2561570222395853	0.23221273256206285	0.22371508962363568	0.21917870095115652	0.20275918572567672	0.1973497075483627	0.23405069488647717	0.24635711998984877	0.20590178928362973	0.1940172782027495	0.2982687597225122	0.18454335627677015	0.1717277571775755	0.3881629899111282	0.3486752798113326	0.3354529002407806	0.3543854642754264	0.38668348319788626	0.45438662541955294	0.46774510244650325	0.4002156934071433	0.30761277342838445	0.30656849824558324	0.3102409450832421	0.4305001510327977	0.4103754439457273	0.19543068707319358	0.2862388226498424	0.38907705037820806	0.31444185244292844	0.35798857585036636	0.29672283012168704	0.4330229202630984	0.29064855875658835	0.3496837584419228
bass_4	0.04214863254111121	0.20591486885969698	0.3940453939766502	0.20813898340194392	0.3892759538872033	0.3923828964864592	0.39111930155774166	0.21051948492667005	0.20930566839674566	0.3216749708533422	0.26194354502151823	0.2618220084434639	0.3194868907002069	0.1906116918739328	0.19249110832841118	0.18377953354982648	0.3293012310950823	0.2173511759838426	0.3720971312025243	0.37260028534282474	0.0	0.19883900854377085	0.3148759173760621	0.325784963686679	0.32337860739282687	0.24187207943343292	0.15286817618714504	0.2410561615801142	0.21359013447656236	0.030364046416762214	0.048714131040530156	0.14363718723510785	0.1547462112368004	0.04286728337783885	0.4050090468501882	0.3943606002448457	0.3903749751153875	0.5515985680290887	0.2722146916931809	0.3073117300183538	0.5864907105825106	0.45256803454731015	0.34543289877212524	0.473431646708665	0.5136248228908867	0.6007872630976673	0.6008801240680697	0.5523106322722834	0.4578697477761105	0.4626382431112604	0.460325668404958	0.2991116834066924	0.3754221177904011	0.5345858041907693	0.6100692992185732	0.3295132880695766	0.317055430916431	0.5089146787941111	0.2947066597734832	0.304462684435583	0.6140099786817701	0.4897652182622815
labelBayesSpace	0.3454602945716154	0.3393849601860152	0.2505157774232342	0.350930824096011	0.24187966449928042	0.2486312821134998	0.2452534782651455	0.3528790988559855	0.34466302987037833	0.14544529069180762	0.0909744807664816	0.08788849717167521	0.14478224357008693	0.2414733117286981	0.2245759905958042	0.23094805179589717	0.3267364568583074	0.33525112488728365	0.3168131433982227	0.3238103383956852	0.19883900854377085	0.0	0.31149071163109	0.3084706025732179	0.30934832712479216	0.3370795575613908	0.3414242047213067	0.34389860351160073	0.3139445577089036	0.3596752954623382	0.38230887899188987	0.28007604258795277	0.3500066677357827	0.3860464610011944	0.24108978583262494	0.07691441638983848	0.07772503590754491	0.22908520406978833	0.18936235177461017	0.15998439892870225	0.3100436813180867	0.2260881872534463	0.49844619280411107	0.2129945631053487	0.1533630878105774	0.16180748881364368	0.1536134474552917	0.17448890099666559	0.17439927163940488	0.17566994527582927	0.17485223427099827	0.15394982321349904	0.2093962358396517	0.11311889353267963	0.22734957016161117	0.4135231772328384	0.1512718646965831	0.1958835530713869	0.15608756263615486	0.1676549760116389	0.22853929003778123	0.19630927272823218
CellCharter_2	0.25480615318886557	0.5211613013546395	0.4892892931595057	0.5292934336223069	0.4826300211727887	0.4885194756932663	0.4880308449567252	0.5325049566823783	0.527507128691236	0.2918567875347885	0.4137014075274073	0.4134290398929521	0.29302331242908286	0.536607229714468	0.5074372858991737	0.5173805270244419	0.5129072563413621	0.53116722210491	0.4435406927594887	0.4570547656315221	0.3148759173760621	0.31149071163109	0.0	0.9272752376054244	0.9464731348949776	0.4873473135943383	0.4340992981963441	0.5193042976549548	0.48091283585718825	0.32613947730785914	0.3090595426828247	0.40031089154910654	0.412768115608812	0.3340108413451006	0.2827224550968799	0.25227483216423463	0.247781901867617	0.39702129537518155	0.2172621026520345	0.21796530585742724	0.45797589934794825	0.3691605475266637	0.5532805784864762	0.27740963352151926	0.37277528075556077	0.37427432367074837	0.35236508910507947	0.39779768492432005	0.34824712876792513	0.34648313973962946	0.34917163555432007	0.43410615076501935	0.4554467497902024	0.2477420738117608	0.33256408801749837	0.573384241762848	0.37608847594602623	0.3985537947680182	0.3637698294676484	0.5469421577857716	0.3376640197496562	0.3924412468094633
CellCharter_3	0.247377006052677	0.5079242424311092	0.4656266053092055	0.5150249151169553	0.45886660932547035	0.46256729558021564	0.46569918782699465	0.5206946447702014	0.5169453866439229	0.2957360210368757	0.4019920970727725	0.40182985742837746	0.2956925388073594	0.5218819004802184	0.49195102829738035	0.5039227442165821	0.5129127061805064	0.526613179221773	0.453987510251224	0.46698953943714105	0.325784963686679	0.3084706025732179	0.9272752376054244	0.0	0.9074003499731278	0.504228078456472	0.4309955333959125	0.5248303896033855	0.46221584391060866	0.3156842997442844	0.3227847993703958	0.38413124390568304	0.4161142621453484	0.33676722702211986	0.2729059777236197	0.2497167622086525	0.24840689119453085	0.39114158009392735	0.22182996856267997	0.2234129488840408	0.46416420733842134	0.3641651779011143	0.5491052622329825	0.29804776061570404	0.37205394749948434	0.3771499802185813	0.35776708936331014	0.3978336733174273	0.32926476232453344	0.3290579392121514	0.3316597798606569	0.42221603198955987	0.4413195227161785	0.23889201356485937	0.32640862600230935	0.5739244093051465	0.3638853959570564	0.3841635540202374	0.35627417087099006	0.5261340908101185	0.3299485210687575	0.38831478080727966
CellCharter_1	0.2568062966544106	0.5261917073816571	0.4912731218095337	0.5326214876902211	0.49055215362248467	0.4920454181126492	0.49329545886756054	0.5358173909269366	0.5316793657522372	0.28441988631800486	0.41481371317678983	0.4137828466790172	0.28631658640584623	0.5380699858732952	0.5105699290786934	0.5193583235294522	0.514586848059547	0.5260620430771149	0.44806445108067655	0.4607055107922975	0.32337860739282687	0.30934832712479216	0.9464731348949776	0.9074003499731278	0.0	0.4853178173398223	0.431963979181956	0.5162543023712357	0.4849284551470448	0.3234078039522655	0.30558493662950376	0.4041975574394349	0.41209522308789653	0.3304470799620502	0.2838013062092462	0.2507761151544362	0.24550041288956184	0.40152967100302767	0.21745271064052285	0.21949020658008403	0.4709601817483316	0.3587199311882539	0.5489431862642306	0.2765182021797188	0.3766714058199689	0.38623080991462183	0.3658667398804393	0.4091580124127786	0.3601404837585549	0.3591105438237509	0.36112719326685583	0.4376697873370287	0.44951331501220665	0.2508775497567208	0.3423982948446567	0.5626109354496555	0.36909782658636886	0.4122616241545929	0.35185949528535987	0.5516108268981951	0.34697459883011716	0.39906057155367386
GraphST_5	0.20234469916980743	0.4296390241359515	0.45993871111997703	0.43864906222397243	0.44343509292822925	0.4514776587455778	0.45929401665607605	0.4458840729466287	0.4383951907697279	0.32894454415563	0.2585752046606551	0.25783549452413657	0.3261324598069523	0.4957708679586508	0.46632383732101607	0.48328047030690463	0.26669249241306064	0.4470811286585124	0.2322157391213526	0.24022862030682238	0.24187207943343292	0.3370795575613908	0.4873473135943383	0.504228078456472	0.4853178173398223	0.0	0.49605333344082936	0.8900646632581874	0.648094488577621	0.3836672481669949	0.4872309922421671	0.36606090010772596	0.5278728001900241	0.47210730815146834	0.27169095694803064	0.3161409521635561	0.3254956170300093	0.29027885168631945	0.23906964984355375	0.24048499271291526	0.3063587765501905	0.25250926279731467	0.49034673229694653	0.4204066420629149	0.25027125539257017	0.24892760505700912	0.22975263280120367	0.2670125307648298	0.24248710846072638	0.24356232434589714	0.24307012186995214	0.2640650024546945	0.2803760424513731	0.2622908400888804	0.28250213587538825	0.4120115945420174	0.34804886846265876	0.26960552233036555	0.34917347538193005	0.3944452978140777	0.2834413942932552	0.27804849348463984
