	label	spaGCN_6	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
bass_2	0.5068741164682158	0.6594601097789414	0.5745943998079162	0.5179848314732465	0.4790173906572803	0.4360069541648971	0.33758927277443135	0.3661889798534001	0.3792563579002048	0.7056493466946699	0.0	0.6600392515789275	0.7226014535388684	0.5636726382353562	0.5564910513768491	0.5404158489401507	0.5512464863305028	0.6204126672939497	0.5939215335644221	0.5655968357686169	0.5593290146690835	0.4979672588641066	0.664267098410746	0.727158100288692	0.4562857002687506	0.2657372270225949	0.2606979428582878	0.30299184890471076	0.2581351117216493	0.46197944039736516	0.3758736743615346	0.6413859193011221	0.627978007253941	0.4223718831756423	0.6815856615926221	0.5056437991989188	0.5828843850241968
bass_3	0.35570159155379716	0.5762401191012679	0.512964817600528	0.5598580929107442	0.5006342341799234	0.4708458007586313	0.3906185710841217	0.4461833991916987	0.44700365615188836	0.6189522080132075	0.6600392515789275	0.0	0.6705102937165398	0.4891772139734043	0.49705874204232625	0.48329814869909626	0.5027517159120434	0.5208398488744052	0.5064280315527279	0.527512309385872	0.49362931429871204	0.47251974288770876	0.49973547511870814	0.5109340076124242	0.5086335456851738	0.31433795414273397	0.3033543675864838	0.3401767299106758	0.30541230091336674	0.4800839565517947	0.4212451082765676	0.5568067288566682	0.4858962935597569	0.31714328986784907	0.5746279446730205	0.4201094708901312	0.5118830037085079
bass_4	0.38007365686263794	0.5566502945048871	0.5505543436047876	0.4310918399618772	0.5159055771929973	0.42841736844981604	0.29160407681853984	0.3118735790571188	0.31530952730582845	0.8205948087335835	0.7226014535388684	0.6705102937165398	0.0	0.6365696780251084	0.6190284727841929	0.6124930421696402	0.5347446549884967	0.5957981949651274	0.5613069978347452	0.5898969619114675	0.6508690621506747	0.5716536787696866	0.6577711651966522	0.6248660466036549	0.4360721422890411	0.2356169234139148	0.2038061859191384	0.2729059082293683	0.22455720684948752	0.38805943682677607	0.3435995450069049	0.704788680105279	0.545433232845944	0.35909830805128173	0.6481693883469553	0.5573319449291492	0.6724726887313244
CellCharter_2	0.3431656435790937	0.44849321650310076	0.4781628680983645	0.3576224223372264	0.4421581707769785	0.3649927967482329	0.2389336391974729	0.26060057673280795	0.2627129986010421	0.6544944694587861	0.5636726382353562	0.4891772139734043	0.6365696780251084	0.0	0.7734547261025991	0.7287047767942004	0.4830950388579981	0.539549910763004	0.5123520569034161	0.5433620323448046	0.5992238130816173	0.5218495540699616	0.6103619431278764	0.5661459426229706	0.3690498148630837	0.1962024258474562	0.16668307083936812	0.2347283521203157	0.18681239635211425	0.33233922982865	0.3003138376425863	0.6417897313382495	0.5373396623348256	0.37558562777910764	0.5621061284227276	0.5773489149930889	0.5771392905702847
CellCharter_3	0.3401895449791266	0.46408284617777873	0.4683079581224933	0.36945367192356326	0.43161131113538914	0.37290793712274367	0.24890106098137416	0.27745146585655767	0.2793378484971028	0.6234077916251661	0.5564910513768491	0.49705874204232625	0.6190284727841929	0.7734547261025991	0.0	0.7194133373355578	0.4696337955265398	0.531285701274933	0.5082374186658158	0.5349089438502919	0.5721689125209405	0.5096178044805485	0.5940399278774485	0.5735111901200303	0.37616613078630917	0.2081433051465322	0.17653871081404476	0.24202276942175002	0.19933495918366992	0.3438379295441574	0.31086471846955444	0.615247686630678	0.4880060113333324	0.3663252974380259	0.5529044484520452	0.5794690472427115	0.5619826751755933
CellCharter_1	0.3279819242916485	0.4496499336773763	0.46921890342845446	0.3546236728312537	0.434231447430026	0.3612229720997688	0.24690142081529687	0.2682770893470855	0.27174227130259493	0.6117707080952488	0.5404158489401507	0.48329814869909626	0.6124930421696402	0.7287047767942004	0.7194133373355578	0.0	0.47281422844171594	0.5177309373052967	0.505812040937194	0.526768438979078	0.5801634730686475	0.4979150495312052	0.5779734662350653	0.569878989583526	0.36338414142703757	0.20100814008215223	0.1686283776006903	0.2381995479259672	0.19175069852703963	0.3326571933034816	0.3031881570365311	0.5955421825911426	0.48267260056521916	0.3332309171816951	0.5293776664130061	0.5328903996490303	0.5633346957826413
SEDR_5	0.32131108917491874	0.5328719043995139	0.5409047298887375	0.4660693546621765	0.4843672554229241	0.4566758751329432	0.3848488507217228	0.419662697622916	0.4186062725210897	0.5545650580676215	0.5512464863305028	0.5027517159120434	0.5347446549884967	0.4830950388579981	0.4696337955265398	0.47281422844171594	0.0	0.6906320734831257	0.7103110274674261	0.8340520008284394	0.5446830345851282	0.538948554377879	0.4804638301352693	0.48651609281508074	0.46397182553214456	0.30587373948862145	0.26411677361040176	0.33295616068380945	0.29143832185947643	0.4944464470698047	0.45586067884594716	0.5388117407945281	0.46969730734473586	0.31446182310428855	0.5129060411436102	0.44355916573544696	0.5066740674805055
SEDR_2	0.3615619839422081	0.5999714315321768	0.6351169792396018	0.527605366931261	0.5166779904825494	0.5019503363595949	0.3942446450262667	0.43614102290050943	0.4363372051271171	0.6166845052848997	0.6204126672939497	0.5208398488744052	0.5957981949651274	0.539549910763004	0.531285701274933	0.5177309373052967	0.6906320734831257	0.0	0.8835837360258296	0.7854784875752766	0.5917140849008797	0.5556364973675796	0.5954271650207782	0.5866378996106971	0.45037960667768323	0.3324508079136071	0.28814601634962944	0.36371512297053055	0.31828192336906985	0.5358002650947539	0.47397633516001325	0.6354410293344844	0.531613212141701	0.34613243698446583	0.5382099091542802	0.49682336593674303	0.5674580700100795
SEDR_3	0.33961795069687456	0.5706512805063759	0.6060905018528612	0.5221063862441271	0.492928983660602	0.4936323850856736	0.4079153723759428	0.44946000518998996	0.4495765511487355	0.5824353400101079	0.5939215335644221	0.5064280315527279	0.5613069978347452	0.5123520569034161	0.5082374186658158	0.505812040937194	0.7103110274674261	0.8835837360258296	0.0	0.8100848409653887	0.579107210361389	0.5764630890182482	0.5628608530095731	0.5646377590191072	0.4577161923266212	0.33448376811596875	0.28862653301217434	0.35982939137453973	0.3212925105648143	0.5171864434515498	0.49108745235532947	0.5985559338469607	0.4991531614144935	0.339637558536647	0.49975531892505753	0.47326130857910154	0.555860624870817
SEDR_6	0.3015156700309352	0.5510224001862815	0.5867684477508274	0.48413917818184055	0.5142994541911636	0.4683939729462272	0.38433200378669946	0.42400090382488165	0.4229628259788203	0.6130436373580859	0.5655968357686169	0.527512309385872	0.5898969619114675	0.5433620323448046	0.5349089438502919	0.526768438979078	0.8340520008284394	0.7854784875752766	0.8100848409653887	0.0	0.6192529732032442	0.6074093793083664	0.5399466239685387	0.5207232056672472	0.47706887897326367	0.30538389672332933	0.2628240206774236	0.3330841817112857	0.29005453425148003	0.5030228338921608	0.4634779192298427	0.6227871253958112	0.4906762110180847	0.3113938115525255	0.514278457325729	0.49671026830266	0.5833362844918164
