	label	spaGCN_8	spaGCN_1	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_2	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_4	STAGATE_13
SEDR_6	0.37303276042954914	0.5560904860328515	0.4355098201532628	0.5555208458177306	0.43506870130673225	0.4713648896181702	0.4387754360325976	0.2932644233086856	0.32000220525484674	0.3146483480379676	0.6181931505823073	0.5678038973735444	0.4640342839252283	0.5489116946238045	0.5084095522956207	0.47731288350798406	0.543828062910186	0.6753299503014897	0.6281759218672204	0.7849021950203967	0.0	0.5846966594807349	0.5683730082588373	0.5626982436216174	0.5686510421883203	0.3708760632118666	0.24300116156675788	0.23298039861451866	0.23221450614427855	0.22144071238483015	0.40182280541071025	0.39146043361625893	0.5788969675813438	0.4938346161626723	0.4263100849790797	0.4183569767373008	0.5760134588895623	0.43034169140393413	0.4332262697068997	0.567489316949933
SEDR_1	0.29602736916451855	0.45020115937870625	0.34522301247433895	0.44983924741973064	0.34434204127821566	0.4610947447141469	0.34945881558461833	0.21422516046369922	0.2316130588123534	0.23060280591562918	0.6160497021973003	0.5763980164852907	0.4657829289675308	0.5996130004980847	0.5693389592010778	0.4881841025884595	0.5804948176059732	0.5614883815677322	0.5102455662106443	0.5325389794603304	0.5846966594807349	0.0	0.7864119670352633	0.5917503678451291	0.5397018188789289	0.3584012727367291	0.18013975006829955	0.17315394849425655	0.170127621414439	0.16317703095189623	0.3115784639266161	0.2948613605644594	0.6847260845734447	0.510983155570631	0.38791396282216145	0.3705467338776978	0.5223847773012136	0.5288665805318393	0.4672936265721271	0.6688132769490097
SEDR_4	0.27887535466165786	0.4420094137678439	0.3475873852694795	0.4419999356304743	0.35266956956037865	0.4510195016628177	0.3599059506434928	0.23426235082320826	0.25966907786303084	0.2532639460827419	0.5879617080419287	0.5502206719145846	0.4680411518983142	0.5781946121721825	0.522464324006021	0.44955843025640885	0.5539683698286837	0.5887729434016562	0.5599124362297727	0.5709737220535136	0.5683730082588373	0.7864119670352633	0.0	0.587687176540203	0.5020792881897367	0.38834513559140954	0.20234295574771605	0.19812651612097207	0.1934771745835744	0.18523691761402525	0.33397492988438177	0.3311425246996642	0.6696718314353464	0.4696805151455599	0.3808331373309909	0.36723882783331135	0.4627184266839005	0.4948978068151125	0.48162910580897206	0.6379065991582658
SpaceFlow_1	0.3708093401979961	0.4650128075182231	0.35521930201228347	0.4654270898682333	0.3578870202767456	0.4713402808636429	0.37607086256885924	0.2252368914201447	0.25295537679879304	0.24532993919654394	0.6973484229891856	0.6401122060672559	0.517640088691675	0.6807578040263454	0.6044618272143338	0.6209003466350759	0.6619882652972323	0.5503983415138499	0.5173772796488588	0.545381794520721	0.5626982436216174	0.5917503678451291	0.587687176540203	0.0	0.8017548700665654	0.40487209244443795	0.19064366065194832	0.18028777542845978	0.17971344048917165	0.16310746843710758	0.3351103857073055	0.32432593158515804	0.6697203720873931	0.6036992817772749	0.5411292767088	0.5305868166749701	0.6399742535669253	0.5219329959773691	0.548975640941497	0.647710774614102
SpaceFlow_4	0.3787536738748779	0.472883005777987	0.36363752070362165	0.47288856578720984	0.3647361107121492	0.4210610191851643	0.3851408066968688	0.22327891540187778	0.2530656819413453	0.24375433724102344	0.6338797763954571	0.5791504424774213	0.4561125945687087	0.614358458353445	0.5767668168754325	0.6019715553903814	0.6268996063392954	0.4918884172139152	0.4636196343140968	0.556707189123236	0.5686510421883203	0.5397018188789289	0.5020792881897367	0.8017548700665654	0.0	0.3626260978671137	0.1941420622451878	0.18339253683892578	0.18358154380581312	0.16699681035330172	0.31560047338295305	0.3110873107906695	0.5989120301151116	0.6119422871501166	0.5570335350288358	0.5768930604001965	0.7320389785842257	0.5077894905783487	0.5179461697424046	0.5855959000098576
DRSC_4	0.2367466102731598	0.4487112264187869	0.4863700532492646	0.44867020862664503	0.4982857635837437	0.3696096526304537	0.479990953986635	0.434155441504147	0.45617601474465075	0.46243719511776	0.4140672226546879	0.4598607908318939	0.4242013152745176	0.41572035915567773	0.330075839556164	0.36141032192253214	0.38903377633192665	0.4173554367185397	0.42865741357848525	0.4074727841755464	0.3708760632118666	0.3584012727367291	0.38834513559140954	0.40487209244443795	0.3626260978671137	0.0	0.3772215394155569	0.38289336170025673	0.3860790552123102	0.3606916255475314	0.5891372580350122	0.5521416347566439	0.40116215287568396	0.35365587447257607	0.318182401420843	0.2807840141321471	0.37058668540166423	0.31399186482087804	0.3451184754233544	0.38390817803247546
seurat_2	0.1584604809650017	0.3046944058405111	0.5290964274052704	0.3051692522310148	0.5388338920415637	0.24583401703450555	0.4311727549516038	0.7184275526140731	0.6951642348297679	0.7007494993658059	0.20339633154133166	0.21704345201163525	0.31237595306415306	0.20945508321980558	0.16122435891227424	0.16098910148854423	0.17465458747394735	0.26969386077056445	0.27454796843069296	0.2824488213803511	0.24300116156675788	0.18013975006829955	0.20234295574771605	0.19064366065194832	0.1941420622451878	0.3772215394155569	0.0	0.9791207852346501	0.9700055841023113	0.9121201964886324	0.5415794068104945	0.5626491997759683	0.20564008218672192	0.16990839425123014	0.15249911143308972	0.15385702433062334	0.1894196974614581	0.14891621650349032	0.17219859589604594	0.1841637917481058
seurat_3	0.15131373113782565	0.2984336281588199	0.5305608843447909	0.2988986354868915	0.5395236493553065	0.23116732024151995	0.4291564247870558	0.7320105115878501	0.7076834504915034	0.7127252227109371	0.1924879515877978	0.20618505293644998	0.30462161331251036	0.1980543038570831	0.15266269222396067	0.1531374645568284	0.16554585139525535	0.26060072324270767	0.2640873309084639	0.2719282719722197	0.23298039861451866	0.17315394849425655	0.19812651612097207	0.18028777542845978	0.18339253683892578	0.38289336170025673	0.9791207852346501	0.0	0.9855955399494613	0.9298201222742727	0.5540954033641784	0.5748462637449938	0.19644258479886137	0.15997207812994124	0.14582789349954647	0.14587846703928925	0.17972158952880496	0.14741065834267178	0.1653392440872491	0.1783610389433956
seurat_1	0.1524015140047575	0.29657650342812797	0.5266050789533768	0.2970152729947709	0.5356059908064372	0.2303093273740484	0.4272888052793812	0.7293288237250171	0.7065776864624854	0.7105099222829099	0.19275939140500964	0.20533705299940516	0.3037734542463686	0.19816665946063222	0.15233512711531552	0.15319729435627089	0.16483958014699088	0.2573710254646131	0.2627724318890516	0.2711793412944393	0.23221450614427855	0.170127621414439	0.1934771745835744	0.17971344048917165	0.18358154380581312	0.3860790552123102	0.9700055841023113	0.9855955399494613	0.0	0.9203460070824817	0.5521890999302913	0.574235032083454	0.19375579151289257	0.15924553936721375	0.144977325030576	0.14472860954280703	0.1795530538469456	0.14442797504003388	0.1646569386975759	0.17583934184239552
seurat_4	0.149954022918948	0.28482945184106945	0.5152692752950133	0.285366570417012	0.5242795805385652	0.21670206039137616	0.40916886950499043	0.7069513807419003	0.6840360676113983	0.6887216930728479	0.17657689740650664	0.18761600945911028	0.28817502694716357	0.1813665276028245	0.14041673939055432	0.14070141688964974	0.15549156973350317	0.24875692535637361	0.2514615494430532	0.2591793558385657	0.22144071238483015	0.16317703095189623	0.18523691761402525	0.16310746843710758	0.16699681035330172	0.3606916255475314	0.9121201964886324	0.9298201222742727	0.9203460070824817	0.0	0.5338649421029181	0.549034081003601	0.17987463271358922	0.14364186598064896	0.12947782474463435	0.12969886255480498	0.16383308939842478	0.13914424716126986	0.1528275030902566	0.16788062310642732
BANKSY_2	0.23868997750476212	0.489660346602816	0.6499754699152824	0.48998571621003645	0.6569752568250048	0.35878270692446723	0.5935723493474484	0.7160864706727864	0.7413425477450515	0.7645954770795429	0.35467745112652	0.39780768105115494	0.42146874891841457	0.34356550217479576	0.2799443490394651	0.30185290466162035	0.32400352435738816	0.43743772593909985	0.4390723352562694	0.4604549770786306	0.40182280541071025	0.3115784639266161	0.33397492988438177	0.3351103857073055	0.31560047338295305	0.5891372580350122	0.5415794068104945	0.5540954033641784	0.5521890999302913	0.5338649421029181	0.0	0.9216365489331391	0.3346954548037478	0.298356633881385	0.2810939914429938	0.24493260681488477	0.3380176069443907	0.25518606854361364	0.27386847380516316	0.33065690788569146
BANKSY_4	0.20311099304427477	0.46046825950910547	0.6141143245261456	0.4604187715348787	0.6268797084827155	0.3384512558035773	0.5507859949822645	0.7397304108065732	0.7720625101792498	0.7881913074745811	0.35546189687404606	0.3494772157545656	0.4245391805997931	0.3375419389804964	0.2732018254709372	0.2661006370755211	0.30931977385408016	0.43017256743152243	0.4395853644057289	0.448917783353368	0.39146043361625893	0.2948613605644594	0.3311425246996642	0.32432593158515804	0.3110873107906695	0.5521416347566439	0.5626491997759683	0.5748462637449938	0.574235032083454	0.549034081003601	0.9216365489331391	0.0	0.3288555115559697	0.27211351264251316	0.2679262620529931	0.24494365664866632	0.3043546039327421	0.2445284014858372	0.27390769919673097	0.32035415519507854
STAGATE_12	0.3327362737484324	0.4905524971939922	0.3687457973994549	0.49054921194542817	0.36791681608565946	0.5022798779148662	0.3785871499453341	0.23269694474800068	0.25559354724339167	0.25173801697949433	0.6981080323729918	0.6516056309778353	0.5306039010459686	0.6786190333852027	0.5765910698179902	0.5215690631273119	0.6042721229931323	0.5931028229859655	0.5462711764437966	0.56973732293339	0.5788969675813438	0.6847260845734447	0.6696718314353464	0.6697203720873931	0.5989120301151116	0.40116215287568396	0.20564008218672192	0.19644258479886137	0.19375579151289257	0.17987463271358922	0.3346954548037478	0.3288555115559697	0.0	0.5344329314559845	0.45114440799601935	0.4274914363552786	0.5344337791711956	0.5490268833010635	0.5473782161024177	0.7216027195824545
STAGATE_11	0.37221585155018994	0.4197619363866885	0.3281449970850148	0.4196665740837392	0.32844324827660293	0.385907580480515	0.3401165312316942	0.193664585094583	0.21383026039655068	0.21720302331526384	0.5209434784643896	0.5973111592768465	0.40600651653113934	0.5115450026030606	0.6008164240753823	0.5956907520657061	0.5128099263048186	0.47060944427636353	0.4347047345326001	0.46768943389885537	0.4938346161626723	0.510983155570631	0.4696805151455599	0.6036992817772749	0.6119422871501166	0.35365587447257607	0.16990839425123014	0.15997207812994124	0.15924553936721375	0.14364186598064896	0.298356633881385	0.27211351264251316	0.5344329314559845	0.0	0.5457674704019725	0.5503854914516743	0.6770060809726215	0.46706680532825295	0.519514484558315	0.5072539818109181
STAGATE_2	0.3815726380022636	0.382014220376174	0.29328660807437146	0.3820251610315552	0.29383086655792573	0.3441024380882223	0.31104233100175843	0.18386767990202582	0.2062902806221183	0.21308875117723014	0.494845621514083	0.48897302144335447	0.38656139582147986	0.4635003927326012	0.4568051079919117	0.5313071127959709	0.4860313766783558	0.3915473271872819	0.3741520009192092	0.4049120701117768	0.4263100849790797	0.38791396282216145	0.3808331373309909	0.5411292767088	0.5570335350288358	0.318182401420843	0.15249911143308972	0.14582789349954647	0.144977325030576	0.12947782474463435	0.2810939914429938	0.2679262620529931	0.45114440799601935	0.5457674704019725	0.0	0.661886536585966	0.5134162496264371	0.40400792709853545	0.5506412110025168	0.45546352084089076
STAGATE_3	0.3279600933083385	0.3461125831646513	0.27136139521797836	0.34648249186526203	0.27256661995313475	0.3048116073627071	0.28129643593670706	0.17459025298604675	0.19809701318658968	0.20211840585673232	0.4504655541522105	0.43557606627231404	0.34239905585172087	0.4336138934383075	0.4585050039312674	0.510143657973546	0.47103087778642155	0.36913151892654056	0.3473731814593051	0.3857343613205629	0.4183569767373008	0.3705467338776978	0.36723882783331135	0.5305868166749701	0.5768930604001965	0.2807840141321471	0.15385702433062334	0.14587846703928925	0.14472860954280703	0.12969886255480498	0.24493260681488477	0.24494365664866632	0.4274914363552786	0.5503854914516743	0.661886536585966	0.0	0.5148677752650553	0.4120927011049772	0.5174969949236532	0.4147377696879235
