	label	spaGCN_4	spaGCN_7	spaGCN_14	spaGCN_13	scanpy_2	scanpy_3	scanpy_1	bass_5	bass_2	bass_3	bass_4	CellCharter_2	CellCharter_3	CellCharter_1	SEDR_5	SEDR_2	SEDR_3	SEDR_6	SEDR_1	SEDR_4	SpaceFlow_1	SpaceFlow_4	DRSC_4	seurat_2	seurat_3	seurat_1	seurat_4	BANKSY_2	BANKSY_4	STAGATE_12	STAGATE_11	STAGATE_3	STAGATE_10	STAGATE_1	STAGATE_13
bass_4	0.35503283539139907	0.49859132272505163	0.334245662248341	0.4346543239003666	0.3361491932029322	0.2345543812098685	0.2587263398923768	0.2213903354245069	0.7664431049243648	0.738204329749449	0.7489345055251887	0.0	0.5019516966435585	0.5596391059321867	0.5534463731285766	0.53135899664798	0.5330556175253625	0.55634460063469	0.5614828014754135	0.5376152636760119	0.5542096236712594	0.543528345000146	0.5431758149186567	0.3971031068805924	0.22508926925497097	0.2244306161078988	0.23911182979400958	0.24440771848590587	0.3282839696804287	0.32843594978073337	0.5953909023263071	0.5919558399746686	0.42588627068383306	0.4918115928537202	0.554441726845713	0.6348573249995152
CellCharter_2	0.38791072679971533	0.4832162047896094	0.2850544558904334	0.39789483984727214	0.2733053776178849	0.21987706396156678	0.23287593761460743	0.19879785443348064	0.5267562363918328	0.5752266838329104	0.42618361030293456	0.5019516966435585	0.0	0.6731899458554056	0.662377221495655	0.5576897663550934	0.5596515634249758	0.5876617596784385	0.5565105664821821	0.5344545790754375	0.5060558201785019	0.560790905533811	0.6157262837876085	0.3180998698164096	0.17264121912826427	0.17224888024690094	0.1873287715518784	0.18933318261586815	0.30633632478357165	0.32108602287410076	0.531980773839753	0.5740148341961787	0.4829049460809998	0.47331345521439344	0.5396675702965185	0.5614577226764177
CellCharter_3	0.3302501985552541	0.40585635898981776	0.26218094044302287	0.343362085526798	0.2723501420441528	0.20646726914245678	0.21713500868302457	0.1846352492359842	0.5603674294052353	0.5250571371713962	0.47424917250194254	0.5596391059321867	0.6731899458554056	0.0	0.683255671526979	0.48551624281488587	0.4855375616963663	0.5156029281061636	0.5047471375142509	0.5200950338431837	0.5118917624091444	0.5270812094420866	0.5614723015502717	0.3151433365586931	0.17119083447811304	0.17075965806409776	0.18721939263407236	0.18702013996435427	0.27268331930361966	0.2722204926386017	0.525809061597606	0.6120263924944493	0.5108817226568071	0.4967203195724212	0.5388563615370193	0.5859057491220074
CellCharter_1	0.3482272825935947	0.4522425259624704	0.2870968752193266	0.3618446832313495	0.2884740919693777	0.2143420389098592	0.24676253998569542	0.20964302041181745	0.5818416219297204	0.5579700414130239	0.4768303633980116	0.5534463731285766	0.662377221495655	0.683255671526979	0.0	0.4828181465839564	0.519057604933667	0.536260778617282	0.5142619066056023	0.5266382160556214	0.5253730383510827	0.45738516030322834	0.5123482433182414	0.3309608443657615	0.20010312062210375	0.19945939163534948	0.2182396624752075	0.2179968718011312	0.29305652995592696	0.29006706092104717	0.5407822094995258	0.5649240595489877	0.46005538898361165	0.4661566544179564	0.5316568758505494	0.5764056666842164
SEDR_5	0.3978090330421981	0.5589626617874401	0.3866570928357711	0.44791555750993217	0.3471492796724689	0.3286113007106733	0.3423188348219534	0.2988418267017307	0.5271088292946654	0.5726136714944493	0.46331434545214834	0.53135899664798	0.5576897663550934	0.48551624281488587	0.4828181465839564	0.0	0.7095681020974244	0.7761544321549096	0.8508894589555928	0.5091971481533532	0.49190105645133	0.5742387904062982	0.6058892514708727	0.39881439765660404	0.27193305156198555	0.271343779520886	0.29596801954373103	0.2936683490743379	0.45421860175452394	0.47303106217546614	0.5123824721946767	0.5390736967417439	0.44101815072303385	0.5015976067856713	0.505320816307242	0.555748724308438
SEDR_2	0.43438415025698074	0.5840739525760252	0.3728430118953566	0.47491333720026824	0.3627314299754509	0.3299732891260137	0.3438675461558186	0.29857408033316896	0.5321209514372589	0.5883558038035133	0.46561420189669195	0.5330556175253625	0.5596515634249758	0.4855375616963663	0.519057604933667	0.7095681020974244	0.0	0.8014945532846479	0.7083429309347261	0.46842166600894647	0.5174710761237494	0.5360363689928344	0.5783478898480227	0.39868163037018306	0.2655963424072618	0.26489740992702915	0.2884434749150133	0.28689402076679466	0.4266439071672708	0.446460894365616	0.529381500896763	0.5134730868120334	0.41859784062395133	0.46358191957361256	0.5072096000871069	0.546536305052135
SEDR_3	0.4293727876705548	0.5772282788826759	0.37006158029607295	0.4756967221538237	0.3511708159366789	0.32823332025590407	0.34387908659947786	0.29760670836715264	0.5565147306668992	0.6005318523158865	0.4806281475445866	0.55634460063469	0.5876617596784385	0.5156029281061636	0.536260778617282	0.7761544321549096	0.8014945532846479	0.0	0.790639096584133	0.5011426531132203	0.5096906019985308	0.6023032829983976	0.6441481476100234	0.38608842538982624	0.25918849533893845	0.25860052047385174	0.28149065121966665	0.2796714016421641	0.4179700295811307	0.43569399986510804	0.545547375705173	0.5660349186937286	0.4723127816230693	0.5250003646573378	0.5205807837295371	0.5880323869318762
SEDR_6	0.43405686952060213	0.5997868302105258	0.39479216509847054	0.4740994176101445	0.367644914706797	0.3290991636783999	0.34437307123352123	0.297262862594792	0.5561185528918815	0.6098622758293855	0.5052051874759714	0.5614828014754135	0.5565105664821821	0.5047471375142509	0.5142619066056023	0.8508894589555928	0.7083429309347261	0.790639096584133	0.0	0.5123926309442025	0.5291920471241938	0.5937644546130071	0.6210079305261953	0.40602971768524493	0.2828370984510124	0.2822467685765918	0.30842176106624547	0.3057523451416971	0.4561837637896115	0.4719734408064504	0.5488846914584835	0.5597357391455781	0.4773718144011764	0.5206588950522678	0.5208527854783749	0.5914444525381796
SEDR_1	0.302113665077794	0.4300690131405458	0.28121424893190916	0.38948562309379453	0.2894079489846061	0.2146052870838405	0.21849849566196494	0.19260200480720155	0.50930967436746	0.46036872517011335	0.46630020820015444	0.5376152636760119	0.5344545790754375	0.5200950338431837	0.5266382160556214	0.5091971481533532	0.46842166600894647	0.5011426531132203	0.5123926309442025	0.0	0.7600163850602086	0.4781205647404664	0.4939178827857392	0.2779647488560107	0.16604096464596746	0.16555679020052141	0.18268985188032064	0.18141415546498565	0.28259873016657	0.2796062651232699	0.6785916244805461	0.517906785431625	0.4145162746134226	0.44025476145601256	0.5863233884954415	0.6501153694893558
SEDR_4	0.30946980992576406	0.4530785451542264	0.29198522185187625	0.40325359880943396	0.308615016177457	0.23301852218953426	0.23016518133981073	0.20922303965158928	0.5073110644699274	0.4648673862300459	0.4758074249058208	0.5542096236712594	0.5060558201785019	0.5118917624091444	0.5253730383510827	0.49190105645133	0.5174710761237494	0.5096906019985308	0.5291920471241938	0.7600163850602086	0.0	0.44980197317049203	0.4623026015936999	0.28602687328333354	0.18624084249846617	0.1856309452720213	0.20449212608178735	0.20179613896779627	0.28619356358484227	0.2828955343563142	0.683868191445918	0.49307329057069826	0.4039824313075312	0.4207819836835287	0.5756456002491734	0.6597804124900887
